iter	Passed	Remaining
699	885	379
700	886	378
701	887	376
702	889	375
703	890	374
704	891	372
705	892	371
706	893	370
707	894	369
708	895	367
709	897	366
710	898	365
711	899	363
712	900	362
713	900	360
714	901	359
715	902	358
716	903	356
717	904	355
718	905	354
719	906	352
720	907	351
721	908	349
722	909	348
723	910	347
724	911	345
725	912	344
726	913	343
727	914	341
728	915	340
729	916	339
730	917	337
731	918	336
732	919	335
733	920	333
734	921	332
735	922	331
736	923	329
737	924	328
738	925	326
739	926	325
740	927	324
741	928	322
742	929	321
743	930	320
744	931	318
745	932	317
746	933	316
747	934	314
748	935	313
749	936	312
750	937	310
751	938	309
752	939	308
753	940	306
754	941	305
755	942	304
756	943	302
757	944	301
758	945	300
759	946	299
760	947	297
761	948	296
762	949	295
763	951	293
764	952	292
765	953	291
766	954	289
767	955	288
768	956	287
769	957	285
770	958	284
771	959	283
772	960	281
773	961	280
774	962	279
775	963	278
776	964	276
777	965	275
778	966	274
779	967	272
780	968	271
781	969	270
782	970	268
783	971	267
784	972	266
785	973	264
786	974	263
787	975	262
788	976	261
789	977	259
790	978	258
791	979	257
792	980	255
793	981	254
794	982	253
795	983	252
796	984	250
797	985	249
798	986	248
799	987	246
800	988	245
801	989	244
802	990	242
803	991	241
804	992	240
805	993	239
806	994	237
807	995	236
808	996	235
809	997	233
810	998	232
811	999	231
812	1000	230
813	1001	228
814	1002	227
815	1003	226
816	1004	224
817	1005	223
818	1006	222
819	1007	221
820	1008	219
821	1009	218
822	1010	217
823	1011	216
824	1012	214
825	1013	213
826	1014	212
827	1015	210
828	1016	209
829	1017	208
830	1018	207
831	1019	205
832	1020	204
833	1021	203
834	1022	202
835	1023	200
836	1024	199
837	1025	198
838	1026	197
839	1027	195
840	1028	194
841	1029	193
842	1030	191
843	1031	190
844	1032	189
845	1033	188
846	1034	186
847	1035	185
848	1036	184
849	1037	183
850	1038	181
851	1039	180
852	1040	179
853	1041	178
854	1042	176
855	1043	175
856	1044	174
857	1045	173
858	1046	171
859	1047	170
860	1049	169
861	1050	168
862	1051	166
863	1052	165
864	1053	164
865	1054	163
866	1054	161
867	1055	160
868	1056	159
869	1058	158
870	1059	156
871	1060	155
872	1061	154
873	1062	153
874	1063	151
875	1064	150
876	1064	149
877	1065	148
878	1066	146
879	1067	145
880	1068	144
881	1069	143
882	1070	141
883	1071	140
884	1072	139
885	1073	138
886	1074	136
887	1075	135
888	1076	134
889	1077	133
890	1078	131
891	1079	130
892	1080	129
893	1081	128
894	1082	127
895	1083	125
896	1084	124
897	1085	123
898	1086	122
899	1087	120
900	1088	119
901	1089	118
902	1090	117
903	1091	115
904	1092	114
905	1093	113
906	1094	112
907	1095	111
908	1096	109
909	1097	108
910	1098	107
911	1099	106
912	1100	104
913	1101	103
914	1102	102
915	1103	101
916	1104	99
917	1105	98
918	1106	97
919	1107	96
920	1108	95
921	1109	93
922	1110	92
923	1111	91
924	1112	90
925	1113	89
926	1114	87
927	1115	86
928	1117	85
929	1118	84
930	1119	82
931	1120	81
932	1121	80
933	1121	79
934	1123	78
935	1124	76
936	1125	75
937	1126	74
938	1127	73
939	1128	72
940	1129	70
941	1130	69
942	1131	68
943	1132	67
944	1133	65
945	1134	64
946	1135	63
947	1135	62
948	1137	61
949	1138	59
950	1139	58
951	1140	57
952	1141	56
953	1142	55
954	1143	53
955	1144	52
956	1145	51
957	1146	50
958	1147	49
959	1148	47
960	1149	46
961	1150	45
962	1151	44
963	1152	43
964	1153	41
965	1154	40
966	1155	39
967	1156	38
968	1157	37
969	1158	35
970	1159	34
971	1160	33
972	1161	32
973	1162	31
974	1163	29
975	1164	28
976	1165	27
977	1166	26
978	1167	25
979	1168	23
980	1170	22
981	1171	21
982	1172	20
983	1173	19
984	1174	17
985	1175	16
986	1176	15
987	1177	14
988	1178	13
989	1179	11
990	1180	10
991	1181	9
992	1182	8
993	1183	7
994	1184	5
995	1185	4
996	1186	3
997	1187	2
998	1188	1
999	1189	0
